backbone,task,layer,bits,fold,metric,fp32,value,delta,quant_dir,sec
hubertL,er,1,2,2,ER_ERR,0.340176,0.345064,0.004888,quants_1024/GPTQ/quants_tc1024_er_fold2,15
hubertL,er,2,2,2,ER_ERR,0.340176,0.351906,0.01173,quants_1024/GPTQ/quants_tc1024_er_fold2,15
hubertL,er,3,2,2,ER_ERR,0.340176,0.342131,0.001955,quants_1024/GPTQ/quants_tc1024_er_fold2,15
hubertL,er,4,2,2,ER_ERR,0.340176,0.342131,0.001955,quants_1024/GPTQ/quants_tc1024_er_fold2,15
hubertL,er,5,2,2,ER_ERR,0.340176,0.372434,0.032258,quants_1024/GPTQ/quants_tc1024_er_fold2,15
hubertL,er,6,2,2,ER_ERR,0.340176,0.361681,0.021505,quants_1024/GPTQ/quants_tc1024_er_fold2,15
hubertL,er,7,2,2,ER_ERR,0.340176,0.350929,0.010753,quants_1024/GPTQ/quants_tc1024_er_fold2,15
hubertL,er,8,2,2,ER_ERR,0.340176,0.336266,-0.00391,quants_1024/GPTQ/quants_tc1024_er_fold2,14
hubertL,er,9,2,2,ER_ERR,0.340176,0.348974,0.008798,quants_1024/GPTQ/quants_tc1024_er_fold2,15
hubertL,er,10,2,2,ER_ERR,0.340176,0.342131,0.001955,quants_1024/GPTQ/quants_tc1024_er_fold2,15
hubertL,er,11,2,2,ER_ERR,0.340176,0.369501,0.029326,quants_1024/GPTQ/quants_tc1024_er_fold2,14
hubertL,er,12,2,2,ER_ERR,0.340176,0.375367,0.035191,quants_1024/GPTQ/quants_tc1024_er_fold2,15
hubertL,er,13,2,2,ER_ERR,0.340176,0.343109,0.002933,quants_1024/GPTQ/quants_tc1024_er_fold2,14
hubertL,er,14,2,2,ER_ERR,0.340176,0.349951,0.009775,quants_1024/GPTQ/quants_tc1024_er_fold2,15
hubertL,er,15,2,2,ER_ERR,0.340176,0.370479,0.030303,quants_1024/GPTQ/quants_tc1024_er_fold2,15
hubertL,er,16,2,2,ER_ERR,0.340176,0.357771,0.017595,quants_1024/GPTQ/quants_tc1024_er_fold2,15
hubertL,er,17,2,2,ER_ERR,0.340176,0.345064,0.004888,quants_1024/GPTQ/quants_tc1024_er_fold2,15
